id,Длинна,Диаметр,Цвет
70239202149060631,9.5,3.5,None
70239201942562736,70.0,4.5,Желтый
70239201931437124,28.0,4.8,Цинк
70239202173033013,51.0,4.8,RAL-8014
70239202173056704,19.0,4.8,Красный
70239202188511809,13.0,3.9,None
70239201940710080,16.0,4.2,Коричневый
70239202186336824,16.0,4.2,Цинк
70239202149000445,100.0,6.0,None
70239202173095677,25.0,4.2,Цинк
70239202157966938,32.0,5.5,Цинк
70239202173081192,70.0,6.0,Цинк
70239202173132688,60.0,4.0,Желтый
70239202173093488,55.0,3.5,None
70239202149096915,11.0,3.5,None
70239202173481098,38.0,6.3,Цинк
70239202173091375,16.0,4.2,Зеленый
70239202173048270,30.0,3.9,None
70239202157980927,25.0,4.2,None
70239202013909640,38.0,5.5,RAL-3011
70239202149062974,45.0,3.5,None
70239202164411136,41.0,10.0,None
70239202173116645,65.0,4.8,Зеленый
70239202189530048,120.0,4.8,None
70239202153673797,30.0,3.0,None
70239202186337508,45.0,3.5,None
70239202186587308,19.0,4.2,Цинк
70239202173077140,32.0,3.5,None
70239202173131863,35.0,3.5,Цинк
70239202149062501,50.0,4.0,None
70239202188135914,19.0,3.5,Черный
70239202157982140,25.0,3.5,Цинк
70239202157968469,25.0,4.2,Цинк
70239202173057164,70.0,4.8,RAL-3005
70239202173085582,28.0,4.8,Красный
70239202173077148,28.0,4.8,RAL-7015
70239201931854912,76.0,4.2,Черный
70239202172892602,29.0,4.8,RAL-5002
70239202173099745,19.0,3.9,Цинк
70239202173086368,40.0,5.0,Желтый
70239202173071194,9.5,3.5,None
70239202156251130,90.0,5.0,Цинк
70239202157970455,50.0,4.0,Цинк
70239202157969074,90.0,6.3,Цинк
70239202158262155,70.0,6.0,None
70239202173088481,41.0,3.5,None
70239202149098574,65.0,4.2,None
70239202187106387,41.0,3.5,None
70239202186112306,32.0,3.5,Черный
70239202173102925,40.0,4.0,Белый
70239201931470685,11.0,3.5,Цинк
70239202173070707,35.0,4.8,RAL-3005
70239201940745359,19.0,5.5,Цинк
70239202173039491,70.0,4.8,Зеленый
70239201942563662,32.0,5.5,Цинк
70239202173103257,32.0,4.2,Цинк
70239202186336718,41.0,3.8,None
70239201931458942,35.0,3.8,None
70239202149086568,51.0,3.5,None
70239201931544252,25.0,4.2,RAL-6005
70239201931553314,32.0,3.9,Желтый
70239202149062817,50.0,4.0,None
70239202149029956,35.0,3.5,None
70239201940756595,19.0,5.5,None
70239202164423991,13.0,4.2,None
70239201931544436,13.0,4.8,Цинк
70239202173084858,35.0,4.8,Синий
70239202173481005,64.0,3.8,Черный
70239202173125629,12.0,3.0,Желтый
70239202172890036,70.0,4.8,RAL-6020
70239202173060426,40.0,4.0,Желтый
70239202186110588,25.0,4.2,Цинк
70239202173481214,13.0,4.2,None
70239202173059372,60.0,4.5,Желтый
70239201931545962,51.0,5.5,Цинк
70239202157975448,19.0,4.2,None
70239202186392986,25.0,3.8,Черный
70239201940584047,90.0,4.2,None
70239202173480994,32.0,4.2,Цинк
70239202149059979,16.0,3.0,None
70239202156317627,16.0,4.0,Цинк
70239202149000663,90.0,4.2,None
70239202189530160,16.0,3.5,None
70239201931553540,51.0,4.8,RAL-3005
70239201931554275,19.0,5.5,RAL-5005
70239201931458964,51.0,5.5,Цинк
70239202013781971,32.0,3.5,None
70239202156185729,40.0,3.5,None
70239202188959760,140.0,6.0,None
70239202173082162,90.0,4.2,None
70239202173081781,19.0,5.5,RAL-3003
70239202188512292,32.0,4.2,None
70239202189763382,60.0,5.0,None
70239202188629561,40.0,4.5,None
70239201931457206,16.0,3.0,None
70239202173038941,40.0,6.0,Белый
70239202173481301,41.0,4.2,Цинк
70239202149082949,90.0,5.0,None
70239201931544497,32.0,4.2,RAL-6005
70239201942561068,29.0,4.8,RAL-8017
70239202157987972,16.0,4.2,Цинк
70239201931544338,38.0,4.8,Цинк
70239202173133252,29.0,4.8,RAL-3011
70239202173126733,35.0,3.5,Черный
70239202157965500,25.0,3.9,Черный
70239201954471707,29.0,4.8,RAL-8017
70239202149066284,25.0,3.5,None
70239202186110546,45.0,3.5,None
70239202173042751,110.0,4.8,None
70239202157977039,125.0,4.8,Черный
70239202157989497,11.0,3.8,None
70239202173061507,28.0,4.8,RAL-9003
70239202186336869,32.0,4.2,Цинк
70239202187091133,16.0,4.2,None
70239202173078883,16.0,3.5,Желтый
70239202173049336,35.0,4.8,Зеленый
70239202172889048,25.0,4.2,RAL-9003
70239202157976965,70.0,4.2,Черный
70239202187050738,32.0,3.5,None
70239201940747021,45.0,3.5,None
70239202149060610,140.0,6.0,None
70239202187057540,152.0,4.8,None
70239202157977084,14.0,4.2,None
70239202173481287,29.0,4.8,RAL-6005
70239202157971578,32.0,6.3,Цинк
70239202173124149,50.0,4.8,Коричневый
70239202157968158,35.0,3.9,None
70239202157979219,32.0,3.5,Черный
70239202173026667,19.0,4.2,RAL-9003
70239202173077035,51.0,3.5,None
70239202156304197,40.0,5.0,Цинк
70239202149057608,19.0,3.5,None
70239202173481045,35.0,4.8,RAL-5005
70239202156255709,25.0,3.0,Цинк
70239202188624697,45.0,3.5,None
70239201931456042,40.0,6.0,None
70239202173069747,13.0,4.2,Цинк
70239202173103918,30.0,3.0,Белый
70239202014047734,25.0,5.5,RAL-3011
70239202172900702,16.0,4.2,Цинк
70239201931467364,80.0,12.0,None
70239202173102807,16.0,4.2,Цинк
70239201931460542,19.0,3.5,None
70239202149070863,40.0,3.0,None
70239202188510340,120.0,6.0,None
70239202157978673,41.0,4.2,Цинк
70239202158237447,16.0,3.0,None
70239202173098807,9.5,3.5,None
70239202156221380,16.0,2.5,None
70239202173101531,25.0,4.2,Цинк
70239202173068331,19.0,5.5,Красный
70239202149053155,11.0,3.5,None
70239202061685937,70.0,4.8,RAL-6005
70239201931460448,38.0,5.5,Цинк
70239201931547172,41.0,3.5,Черный
70239202173045525,65.0,4.8,Цинк
70239201931456010,20.0,4.0,None
70239202148927235,20.0,2.5,None
70239202149072935,64.0,6.3,None
70239202156239988,40.0,5.0,Цинк
70239202173030549,25.0,5.5,RAL-9003
70239202173191321,19.0,4.2,Цинк
70239202157983864,55.0,3.5,Черный
70239202173132639,150.0,6.0,Желтый
70239202173480968,29.0,4.8,Цинк
70239201931544103,25.0,4.2,Цинк
70239202189558848,19.0,5.5,RAL-1014
70239201931544574,38.0,6.3,RAL-3005
70239202173191942,11.0,3.5,None
70239201931544926,41.0,4.2,RAL-5005
70239202188749030,16.0,2.5,None
70239202173132879,12.0,2.5,Желтый
70239201931546723,80.0,6.3,Цинк
70239201931455305,75.0,4.2,None
70239202173088293,16.0,4.2,Белый
70239202188624657,35.0,4.8,RAL-3005
70239202149059891,25.0,3.5,None
70239201931461408,16.0,3.5,None
70239202186276854,32.0,4.2,Цинк
70239202173046753,100.0,6.0,Желтый
70239202173130340,25.0,3.5,Желтый
70239202173100536,19.0,5.5,Зеленый
70239202173062999,80.0,5.0,Желтый
70239202173481486,16.0,4.2,Цинк
70239202189641659,40.0,3.0,None
70239202173097039,90.0,4.2,None
70239202173085616,35.0,3.9,Белый
70239201931544345,32.0,4.2,RAL-3005
70239201931453868,55.0,3.5,None
70239202149078727,25.0,2.5,None
70239201940747272,32.0,3.5,None
70239202186110243,13.0,4.2,Цинк
70239201976605673,29.0,4.8,None
70239202173481027,51.0,3.5,None
70239201931463664,65.0,4.2,None
70239202156180716,40.0,3.5,Цинк
70239202173081568,51.0,4.8,RAL-7004
70239201931547570,13.0,3.9,Желтый
70239202173039100,25.0,5.5,Цинк
70239202173066403,38.0,4.8,Синий
70239201931551262,38.0,5.5,Цинк
70239202189763448,16.0,5.0,None
70239202157984520,41.0,4.2,None
70239202172903921,32.0,4.2,Цинк
70239201942561401,60.0,6.0,Желтый
70239201931461407,19.0,6.3,Цинк
70239202157976698,14.0,4.2,None
70239202173110435,60.0,4.0,Желтый
70239202173056548,41.0,3.5,Черный
70239201940729547,127.0,4.8,None
70239202173083118,75.0,4.2,Желтый
70239202173095076,51.0,4.8,Красный
70239201931546348,38.0,6.3,None
70239201931807329,100.0,4.8,None
70239202157982497,16.0,3.5,Черный
70239202164370422,16.0,4.2,None
70239202173034581,65.0,4.8,Коричневый
70239201940745390,29.0,4.8,Цинк
70239201931549003,25.0,5.5,RAL-5010
70239201940711447,100.0,4.8,None
70239202153673691,70.0,6.0,None
70239202187688692,45.0,3.5,None
70239202173127923,38.0,4.8,Красный
70239202173092346,28.0,4.8,Цинк
70239202173127311,100.0,4.8,None
70239202188648583,28.0,4.8,RAL-5005
70239201940756381,32.0,5.5,None
70239202173030373,35.0,4.8,RAL-3005
70239202157972646,29.0,4.8,Цинк
70239202184330289,40.0,3.0,None
70239201931470323,50.0,4.8,None
70239202157969965,90.0,4.8,Черный
70239201940760114,125.0,4.8,None
70239202149066141,19.0,3.5,None
70239202190658269,25.0,3.8,None
70239202173061296,19.0,4.8,Коричневый
70239202173066930,40.0,6.0,Цинк
70239202173481024,32.0,3.5,Черный
70239202173036842,60.0,5.0,Желтый
70239202173115661,51.0,4.8,RAL-5005
70239202149086572,30.0,3.5,None
70239202173083504,51.0,4.8,RAL-3005
70239201931460472,55.0,3.5,None
70239202149030098,45.0,3.5,None
70239201931550317,25.0,5.5,RAL-3003
70239201931461677,100.0,6.0,None
70239202157977890,16.0,4.2,Цинк
70239202173046651,70.0,5.0,Цинк
70239201931463509,70.0,4.0,None
70239202149057438,25.0,3.5,None
70239202167103891,70.0,5.0,None
70239202173038519,75.0,4.2,None
70239202173060204,16.0,3.0,Цинк
70239202186277194,16.0,3.5,None
70239201931460610,160.0,10.0,None
70239202149053116,130.0,6.0,None
70239202188263025,75.0,4.2,None
70239202173109647,25.0,3.5,None
70239201942561392,50.0,5.0,Желтый
70239202173481091,55.0,3.5,Черный
70239201940747055,95.0,4.8,None
70239202186947365,25.0,3.9,None
70239201942559809,100.0,5.0,Желтый
70239202173103132,16.0,4.0,None
70239202156281066,70.0,5.0,Цинк
70239202173480997,64.0,3.8,Черный
70239202157973684,25.0,5.5,Цинк
70239202173030224,28.0,4.8,RAL-3009
70239202149065960,25.0,3.9,None
70239202149068606,130.0,6.0,None
70239201931544248,35.0,4.8,RAL-5021
70239202156290764,40.0,6.0,Цинк
70239202173092768,29.0,4.8,RAL-3005
70239202149083857,28.0,4.8,None
70239201940739803,75.0,4.2,None
70239202156223177,50.0,4.5,Цинк
70239202173093167,16.0,4.2,Цинк
70239201931462412,60.0,6.3,None
70239201931470276,32.0,2.9,None
70239202157969068,100.0,4.8,Черный
70239201931571640,45.0,3.5,Черный
70239202187045161,41.0,3.5,None
70239202173044186,19.0,3.5,None
70239202149098704,80.0,5.0,None
70239202173044619,35.0,4.8,RAL-8014
70239201931462828,51.0,3.5,None
70239202176903526,35.0,3.5,None
70239201931545140,19.0,5.5,RAL-6002
70239202167093787,65.0,4.2,None
70239202173481048,25.0,3.8,None
70239202188648509,35.0,3.5,None
70239202173122724,19.0,4.8,Коричневый
70239202149000270,25.0,5.0,None
70239202153674258,80.0,6.0,None
70239201940756677,70.0,5.0,None
70239201931470324,19.0,3.5,None
70239202157979433,32.0,3.9,Желтый
70239201931544872,25.0,5.5,RAL-7004
70239202149056939,40.0,4.0,None
70239202149072882,70.0,4.0,None
70239202189558770,65.0,4.2,None
70239202173124173,30.0,4.5,Желтый
70239202173132503,140.0,6.0,Желтый
70239202149063233,75.0,4.2,None
70239201931545402,95.0,4.8,Черный
70239202149070861,32.0,4.2,None
70239202157975352,45.0,3.5,Цинк
70239201940760040,38.0,4.2,None
70239201931552907,19.0,5.5,RAL-7004
70239202157969804,70.0,4.2,Черный
70239202173103451,38.0,4.8,Коричневый
70239202184287135,30.0,4.5,None
70239202173035286,40.0,4.0,Желтый
70239202157983209,32.0,4.2,None
70239202173067993,90.0,5.0,Цинк
70239202157985545,51.0,3.5,Черный
70239202156242114,12.0,3.0,Цинк
70239202173481360,45.0,3.8,None
70239202173069796,19.0,6.3,Белый
70239202173124682,12.0,4.0,None
70239202156213857,45.0,3.0,Цинк
70239202173079475,16.0,4.0,Желтый
70239201931467778,75.0,2.0,Цинк
70239201931461458,76.0,5.5,Цинк
70239202153675790,100.0,6.0,None
70239202153673892,50.0,5.0,None
70239202157983273,19.0,5.5,Цинк
70239202173067525,25.0,5.5,RAL-5005
70239202186916788,25.0,4.2,Цинк
70239202173032516,25.0,3.5,None
70239201931470862,11.0,3.5,Черный
70239202189548590,80.0,6.0,None
70239202173039440,29.0,4.8,RAL - 5009
70239202157978443,40.0,5.0,Цинк
70239202173092820,9.0,4.8,RAL-6005
70239201931461678,19.0,4.2,None
70239202173069500,51.0,4.8,Синий
70239202149072868,35.0,3.5,None
70239202167083094,75.0,4.2,None
70239201931544355,70.0,4.8,Цинк
70239201931455435,120.0,4.8,None
70239202173077628,35.0,4.8,RAL-5002
70239202186277114,51.0,4.2,Цинк
70239202173098864,50.0,4.2,Цинк
70239202157978463,25.0,4.2,Цинк
70239202149030093,127.0,6.3,None
70239202157977057,95.0,4.8,Черный
70239202156278910,16.0,3.0,Цинк
70239202188749352,100.0,4.8,None
70239202148927132,75.0,4.2,None
70239201931545403,50.0,4.8,Цинк
70239202173098661,29.0,4.8,RAL-3009
70239202173058261,51.0,4.8,Зеленый
70239201931544308,25.0,4.8,None
70239202173481223,41.0,3.5,None
70239202189651578,19.0,4.2,None
70239202149070785,50.0,4.2,None
70239202149098807,130.0,6.0,None
70239202149070930,51.0,3.5,None
70239201931467739,6.3,5.0,None
70239202173102199,22.0,4.8,Белый
70239202184258319,30.0,5.0,None
70239202173103357,30.0,4.0,Цинк
70239202158262136,30.0,3.0,None
70239202149057047,41.0,3.5,None
70239202173057950,40.0,3.0,Цинк
70239202149059722,51.0,5.5,None
70239202173123738,19.0,5.5,Коричневый
70239202156261065,25.0,3.5,None
70239202187586627,13.0,4.2,Цинк
70239202173045361,60.0,6.0,Цинк
70239202157968498,16.0,3.9,None
70239202172936049,35.0,4.8,Зеленый
70239202149096765,75.0,4.2,None
70239202149072961,30.0,5.0,None
70239202149053630,60.0,5.0,None
70239201931461409,38.0,6.3,Цинк
70239202157985552,25.0,3.9,Желтый
70239202173050918,29.0,4.8,Синий
70239201931455490,120.0,8.0,None
70239202188648545,20.0,3.5,None
70239202186613691,19.0,4.2,None
70239201931470336,32.0,3.5,None
70239201931544382,19.0,4.2,RAL-8017
70239202157971368,76.0,4.2,Цинк
70239202188511559,25.0,5.0,None
70239202149067707,76.0,4.8,None
70239202149029133,55.0,3.5,None
70239202173056116,50.0,6.0,Цинк
70239202180489080,100.0,5.0,None
70239202157967303,45.0,6.0,Цинк
70239202157972330,40.0,6.0,Цинк
70239202156229621,50.0,6.0,Цинк
70239202173481193,35.0,4.8,RAL-8017
70239202172892867,16.0,4.2,RAL-9003
70239202173081493,70.0,6.0,Желтый
70239202173481129,55.0,3.8,None
70239202173115049,60.0,4.8,RAL - 5009
70239202189623354,20.0,3.5,Черный
70239202148927094,90.0,6.0,None
70239201940756861,55.0,3.8,None
70239202149038493,13.0,2.5,None
70239202173070509,35.0,4.8,Зеленый
70239202173124875,25.0,5.5,RAL - 5009
70239201931460954,51.0,3.5,None
70239202157977530,20.0,5.0,Цинк
70239202173070932,51.0,3.5,None
70239202186586650,75.0,4.2,None
70239202013929799,19.0,5.5,RAL-6005
70239202153674288,20.0,5.0,None
70239202149100874,25.0,3.5,None
70239202173087117,35.0,3.5,None
70239202157984265,30.0,3.5,Черный
70239202173063429,50.0,4.5,Желтый
70239202173041352,100.0,6.0,Цинк
70239202172970149,51.0,4.8,RAL-3011
70239201940584053,100.0,4.8,None
70239202188629659,40.0,6.0,None
70239202173481261,25.0,3.9,Черный
70239201931568240,25.0,3.5,Черный
70239202188624789,35.0,4.8,RAL-6005
70239202157989710,100.0,4.8,Черный
70239202157978379,40.0,6.0,Цинк
70239202172929934,19.0,5.5,Коричневый
70239202149060102,32.0,5.5,None
70239202173481063,32.0,4.2,None
70239201940756902,32.0,3.5,Черный
70239202149030028,9.5,3.5,None
70239202173049607,28.0,4.8,Цинк
70239202173045136,45.0,3.5,Желтый
70239201931544682,29.0,4.8,Цинк
70239201942561523,25.0,5.5,RAL-8017
70239202186392517,40.0,3.0,None
70239202173088854,60.0,4.8,Зеленый
70239202164404163,41.0,7.0,None
70239202184514679,25.0,2.5,None
70239202173084622,55.0,3.5,None
70239202188790768,70.0,4.2,Черный
70239202173095558,110.0,4.8,None
70239202158262140,35.0,5.0,None
70239201931461406,55.0,3.5,None
70239202153470006,32.0,3.5,Черный
70239202173125614,25.0,3.0,Желтый
70239202172994444,11.0,3.5,None
70239201931544330,29.0,4.8,RAL-5010
70239202186931598,25.0,3.5,None
70239202173084952,30.0,4.0,Желтый
70239201931440272,50.0,4.2,None
70239201940756780,100.0,4.8,None
70239202189558742,40.0,4.0,None
70239202157965228,25.0,3.5,Черный
70239202188153058,70.0,4.8,RAL-3005
70239201940756859,32.0,4.2,None
70239202149100769,30.0,3.0,None
70239201940739759,16.0,3.5,None
70239202188510251,120.0,6.3,None
70239202157984972,100.0,6.0,Цинк
70239201940724855,30.0,3.9,None
70239202173057903,65.0,4.8,Зеленый
70239201940756849,29.0,4.8,None
70239202188847122,90.0,4.2,None
70239202173095783,19.0,5.5,RAL - 5009
70239202149066040,25.0,6.3,None
70239202173480974,32.0,3.5,Черный
70239202157979729,19.0,3.9,None
70239201931549366,70.0,6.3,Цинк
70239202164412942,41.0,4.2,None
70239202149073080,51.0,3.8,None
70239202156276440,20.0,6.0,Цинк
70239202173057797,110.0,4.8,None
70239202173102121,10.0,2.5,Желтый
70239201940756105,25.0,5.5,None
70239202188629763,30.0,4.5,None
70239202189558888,45.0,3.9,None
70239202188749445,35.0,5.0,None
70239202156205484,75.0,4.2,None
70239202189548752,40.0,3.5,None
70239202156229851,30.0,4.5,Цинк
70239202149071191,19.0,4.2,None
70239201931549917,32.0,4.2,Цинк
70239202173042178,65.0,4.8,Коричневый
70239202173088569,50.0,4.8,Белый
70239202149063053,32.0,3.5,None
70239202157969271,150.0,4.8,Черный
70239202149029415,20.0,3.5,None
70239202173057902,100.0,4.8,None
70239202189558789,25.0,3.5,None
70239201931472429,38.0,3.9,None
70239202149066190,40.0,6.0,None
70239201942563120,35.0,4.8,RAL-8017
70239202188511830,12.0,4.0,None
70239202014032395,50.0,4.8,RAL-6005
70239202186339648,50.0,4.5,None
70239201931463510,11.0,3.5,None
70239201940757722,45.0,3.8,None
70239202149062921,140.0,6.0,None
70239202172990378,28.0,4.8,Красный
70239201931547538,32.0,6.3,RAL-8017
70239202188630203,35.0,4.0,None
70239202173118521,32.0,3.9,Белый
70239202156234899,70.0,6.0,Цинк
70239201940711572,41.0,4.2,None
70239202173067478,25.0,2.5,Желтый
70239202173053027,65.0,4.8,Красный
70239201940732401,25.0,3.5,None
70239202173101191,11.0,3.5,None
70239202157982487,76.0,4.2,Черный
70239202186943012,65.0,4.2,None
70239202188749447,30.0,5.0,None
70239202186947219,45.0,3.8,None
70239201819352391,51.0,3.5,Черный
70239201931544203,35.0,3.5,Черный
70239202186337034,16.0,3.5,Черный
70239201931544601,29.0,4.8,RAL-3005
70239202173481010,51.0,3.5,Черный
70239202188749064,30.0,4.5,None
70239202173043020,35.0,4.8,Синий
70239202173110470,35.0,3.5,Желтый
70239202173035328,20.0,4.0,Цинк
70239202188510112,55.0,3.8,None
70239202173481146,32.0,3.5,Черный
70239202157966440,12.0,3.0,Цинк
70239202173029140,13.0,4.2,RAL-9003
70239201940584118,32.0,4.2,Цинк
70239202173135053,35.0,4.8,Цинк
70239202157985191,45.0,3.5,Цинк
70239202153674240,12.0,3.5,None
70239201931544270,51.0,3.5,Черный
70239201931437526,28.0,4.8,Цинк
70239202149062994,51.0,6.3,None
70239202173103946,25.0,4.2,Цинк
70239202173081471,70.0,6.0,Желтый
70239201931455123,160.0,8.0,None
70239202173023901,28.0,4.8,RAL-6005
70239202173192045,25.0,4.2,Цинк
70239201940710081,16.0,4.2,Синий
70239201942561806,80.0,5.0,Желтый
70239202157993894,55.0,3.5,Черный
70239202173061759,100.0,5.0,Желтый
70239202173099612,35.0,4.8,Красный
70239202173098256,35.0,4.8,Коричневый
70239202173061826,16.0,4.2,Зеленый
70239202173098299,50.0,4.8,Цинк
70239202173127130,13.0,4.2,Цинк
70239202153674264,25.0,5.0,None
70239202173048391,30.0,4.0,Желтый
70239202175055036,50.0,4.0,None
70239201940756231,40.0,3.0,None
70239202148927012,16.0,4.0,None
70239202173065996,28.0,4.8,RAL-3005
70239201931544752,152.0,4.8,Черный
70239201931547110,102.0,5.5,Цинк
70239202157978459,25.0,5.5,Цинк
70239201931544196,25.0,6.3,Цинк
70239201940745417,41.0,3.8,None
70239202153463890,64.0,3.8,Черный
70239201931437717,28.0,4.8,None
70239202157985845,90.0,4.8,Черный
70239202188511722,50.0,4.5,None
70239202173084269,19.0,4.2,Цинк
70239202157972093,40.0,4.5,Цинк
70239202173098465,19.0,4.8,Зеленый
70239202188648319,25.0,3.9,None
70239201940584362,16.0,4.2,None
70239202173032476,51.0,4.8,RAL-3009
70239202188648620,12.0,4.0,None
70239202189558908,10.0,2.5,None
70239202173045587,25.0,4.2,RAL-9003
70239202173045582,51.0,4.2,Белый
70239202149078643,51.0,4.8,None
70239201931578423,35.0,3.5,Черный
70239202157972032,25.0,3.5,Черный
70239202173078471,30.0,4.0,Белый
70239202186337182,13.0,4.2,None
70239202173103943,105.0,6.3,None
70239202186947417,16.0,4.2,Цинк
70239202157971776,50.0,6.3,Цинк
70239202173132660,19.0,4.2,Коричневый
70239202186277451,19.0,3.5,None
70239202148927072,12.0,3.5,None
70239201942561541,60.0,5.0,Желтый
70239202189531938,25.0,3.5,Черный
70239202173104614,20.0,3.0,Желтый
70239202156271643,35.0,6.0,Цинк
70239202173192197,80.0,4.8,Зеленый
70239202186339370,35.0,4.8,None
70239202173077829,16.0,3.5,None
70239202157982476,19.0,6.3,Цинк
70239202189739578,100.0,4.8,Черный
70239201931461179,19.0,4.2,None
70239202173087866,60.0,4.8,Коричневый
70239202173079822,45.0,6.0,Цинк
70239202173049394,80.0,5.0,Белый
70239202173127347,20.0,6.0,Желтый
70239202149059907,35.0,3.8,None
70239202173079758,19.0,4.8,Цинк
70239202156228700,50.0,5.0,Цинк
70239202173059572,80.0,6.0,Желтый
70239202188983309,12.0,3.0,None
70239202156272060,12.0,2.5,Цинк
70239202173100982,35.0,4.8,RAL-3011
70239202188700724,55.0,3.5,Черный
70239202173114656,50.0,4.8,RAL-3005
70239202167083114,100.0,4.8,None
70239201942562730,50.0,6.0,Желтый
70239202173132217,29.0,4.8,Зеленый
70239202156286453,12.0,3.0,Цинк
70239202157966512,35.0,3.5,Черный
70239202157972115,70.0,4.8,Цинк
70239202173096716,70.0,4.8,Красный
70239202149053112,80.0,5.0,None
70239202149098556,9.5,3.5,None
70239202149078784,65.0,4.2,None
70239202148927169,25.0,3.8,None
70239202157975931,19.0,5.5,Цинк
70239202187057532,64.0,3.8,None
70239202173088090,127.0,4.8,None
70239202149067938,32.0,6.3,None
70239202148926997,12.0,3.0,None
70239202173126666,75.0,4.2,None
70239202173109829,50.0,3.5,Желтый
70239202157981806,32.0,3.5,Черный
70239201931438619,16.0,4.2,None
70239201946230793,9.5,3.5,Черный
70239202186947249,35.0,3.5,Белый
70239202157989669,130.0,6.3,Цинк
70239202157985176,150.0,4.8,Черный
70239202173134927,13.0,4.2,Цинк
70239202189622748,40.0,6.0,None
70239202188507243,5.6,3.0,RAL-8017
70239202180485832,50.0,5.0,None
70239202173095726,29.0,4.8,RAL-3011
70239202173083805,35.0,4.8,RAL-6020
70239202157985138,70.0,4.2,Черный
70239202172991107,25.0,6.3,Цинк
70239202173109831,19.0,5.5,RAL - 5009
70239201931551966,13.0,4.2,Цинк
70239202157976882,19.0,4.2,Цинк
70239201940756287,32.0,4.2,None
70239201940756294,40.0,5.0,None
70239201940584169,41.0,None,None
70239202173133530,50.0,4.2,Цинк
70239202156215342,30.0,4.0,Цинк
70239201931549009,38.0,5.5,Цинк
70239201942561878,35.0,4.0,Желтый
70239201931543873,29.0,4.8,Цинк
